source_id,filename,city_focus,topic_focus,pages_total,pages_processed_for_poc,word_count_est,character_count,extraction_status,notes
SRC_001,CMC_1 (1)-2.pdf,Buffalo,Buffalo Local 533 / Colored Musicians Club,27,preview/sample,58,384,preview_seeded_for_phase0,"MUSICIANS ASSOCIATION LOCAL 533 OF THE AMERICAN FEDERATION OF MUSICIANS, AND ITS ROLE IN THE DEVELOPMENT OF BLACK MUSIC IN BUFFALO, NEW YORK by Richard Kenneth McRae. The jazz scene in Buffalo has a rich legacy. Colored Musicians Club. Local 533. Buffalo..."
SRC_002,Dissertation_2011_The_Crossroads_of_the.pdf,Pittsburgh,Pittsburgh Hill District jazz history,316,preview/sample,97,705,preview_seeded_for_phase0,"The Crossroads of the World: A Social and Cultural History of Jazz in Pittsburgh Hill District 1920-1970 by Colter Harper. This study examines the social life and cultural history of jazz in Pittsburgh Hill District. Jazz as spatial practice, constructing..."
SRC_003,International-Musician-1944-07.pdf,Unknown,American Federation of Musicians / labor context,24,preview/sample,24,209,preview_seeded_for_phase0,International Musician official journal American Federation of Musicians July 1944. National War Labor Board directive. Federation. locals. musicians. union. labor. contracts. membership. president. secretary.
SRC_004,part2.pdf,Buffalo,Buffalo Local 533 / Colored Musicians Club,30,preview/sample,24,184,preview_seeded_for_phase0,Local 533 general membership. Secretary office and duties. Raymond Jackson. Silas Laws. business agent. musical work not distributed equitably. member Crane. union governance. Buffalo.
SRC_005,part3.pdf,Buffalo,Buffalo Local 533 / Colored Musicians Club,34,preview/sample,26,178,preview_seeded_for_phase0,Local 533 members pay initial ten dollars and weekly payments. Luncford expected to obey regulations. first dispute between Luncford and the local. Buffalo union membership dues.
SRC_006,part4.pdf,Buffalo,Buffalo Local 533 / Colored Musicians Club,24,preview/sample,25,176,preview_seeded_for_phase0,Federal Gardens and the Moon-Glo. Colored Musicians Club jam sessions Sunday afternoons and Tuesday nights. Riding hired as house pianist. Buffalo clubs. musicians. jazz. band.
SRC_007,part5 (1).pdf,Buffalo,Buffalo Local 533 / Colored Musicians Club,34,preview/sample,28,182,preview_seeded_for_phase0,"Charles Swayne, Founding Secretary and third President of the Local. Local 533 one of the best in the country. members trust officers. annual dues. operating costs. union governance."
SRC_008,part6 (1).pdf,Buffalo,Buffalo Local 533 / Colored Musicians Club,52,preview/sample,30,184,preview_seeded_for_phase0,Local 533 work tax on all jobs. Two percent of any job went into the general treasury of the local. merger. life insurance policies. Life Membership program. Buffalo union integration.
SRC_009,part7.pdf,Buffalo,Performance contract/event listings,42,preview/sample,66,413,preview_seeded_for_phase0,"1941 September 21 Name: Hite, Les Place: Genesee Ballroom No. of personnel (if known): 14 Side personnel or group(s): Woodman, Britt Length of job played: 1 night Source of information: c&t Date of contract: 08/23/41 Remarks: gig for Sportsmen Club. 1941..."
SRC_010,part8.pdf,Buffalo,Performance contract/event listings,42,preview/sample,84,530,preview_seeded_for_phase0,"1947 July 27 Name: Jordan, Louis Place: Memorial Auditorium No. of personnel (if known): 7 Side personnel or group(s): Morris, Joe Length of job played: 1 night Source of information: c&t Date of contract: 05/15/47 Remarks: motion picture clause. 1947 July..."
SRC_011,part9 (1).pdf,Buffalo,Performance contract/event listings,40,preview/sample,49,299,preview_seeded_for_phase0,"1952 June 03 Name: Symphony Sid and his All-Star Show Place: Kleinhans Music Hall No. of personnel (if known): 6 Side personnel or group(s): Davis, Miles Johnson, J.J. Sims, Zoot Jackson, Milt Clarke, Kenny Length of job played: 1 night Source of..."
SRC_012,part10.pdf,Buffalo,Performance contract/event listings,34,preview/sample,103,621,preview_seeded_for_phase0,"1954 July 12 Name: Paulson, Montell A. Place: Paradise Lounge No. of personnel (if known): ? Length of job played: 2 weeks Source of information: con Date of contract: 07/12/54 Remarks: 1954 July Name: Smith, Hattie Place: Copa Casino No. of personnel (if..."
SRC_013,part11 (1).pdf,Buffalo,Performance contract/event listings,35,preview/sample,104,618,preview_seeded_for_phase0,"1963 February 23 Name: Basie, Count Place: B.A.C. No. of personnel (if known): ? Length of job played: 1 night Source of information: min Remarks: 1963 February 24 Name: Basie, Count Place: Memorial Auditorium No. of personnel (if known): ? Length of job..."
